AREA,ACTIVITY,CLUSTER,DISTRICT,PLANNED,STATEMENT,COUNT,AMOUNT
CARE,CDDPs,MASAKA,BUKOMANSIMBI,23,COUNT EACH CDDP SITE VISITED AS AS ONE,No. of Sites visited,2166000
CARE,CDDPs,MASAKA,MASAKA CITY,14,COUNT EACH CDDP SITE VISITED AS AS ONE,No. of Sites visited,2068000
CARE,CDDPs,MASAKA,SEMBABULE,22,COUNT EACH CDDP SITE VISITED AS AS ONE,No. of Sites visited,2850000
CARE,FACILITY DATA USE MEETING,MASAKA,BUKOMANSIMBI,20,COUNT EACH NS VISITED AS ONE,No. of NS visited,150000
CARE,FACILITY DATA USE MEETING,MASAKA,MASAKA CITY,25,COUNT EACH NS VISITED AS ONE,No. of NS visited,450000
CARE,FACILITY DATA USE MEETING,MASAKA,SEMBABULE,30,COUNT EACH NS VISITED AS ONE,No. of NS visited,150000
CARE,ICSDM,MASAKA,BUKOMANSIMBI,20,COUNT EACH NS VISITED AS ONE,No. of NS visited,470000
CARE,ICSDM,MASAKA,MASAKA CITY,25,COUNT EACH NS VISITED AS ONE,No. of NS visited,520000
CARE,ICSDM,MASAKA,SEMBABULE,30,COUNT EACH NS VISITED AS ONE,No. of NS visited,1040000
CARE,FACILITY RETENTION SUPPORT,MASAKA,BUKOMANSIMBI,24,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,5040000
CARE,FACILITY RETENTION SUPPORT,MASAKA,MASAKA CITY,16,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,4830000
CARE,FACILITY RETENTION SUPPORT,MASAKA,SEMBABULE,32,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,7056000
CARE,VIRAL LOAD CAMPS,MASAKA,BUKOMANSIMBI,18,COUNT EACH CAMP CONDUCTED BY EACH FACILITY AS ONE,No. of camps done,2916000
CARE,VIRAL LOAD CAMPS,MASAKA,MASAKA CITY,16,COUNT EACH CAMP CONDUCTED BY EACH FACILITY AS ONE,No. of camps done,1410000
CARE,VIRAL LOAD CAMPS,MASAKA,SEMBABULE,30,COUNT EACH CAMP CONDUCTED BY EACH FACILITY AS ONE,No. of camps done,3176000
CARE,PHARMACY SUPPORT,MASAKA,SEMBABULE,0,COUNT EACH VISIT AS ONE,No. of visits done,96000
CARE,YAPS MENTORSHIP,MASAKA,BUKOMANSIMBI,24,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,0
CARE,YAPS MENTORSHIP,MASAKA,MASAKA CITY,16,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,171000
CARE,YAPS MENTORSHIP,MASAKA,SEMBABULE,32,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,372000
CARE,SCHOOL PROGRAM,MASAKA,BUKOMANSIMBI,24,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,168000
CARE,SCHOOL PROGRAM,MASAKA,MASAKA CITY,16,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,168000
CARE,SCHOOL PROGRAM,MASAKA,SEMBABULE,32,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,126000
CARE,JOINT DHT MEETING,MASAKA,BUKOMANSIMBI,24,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,2520000
CARE,JOINT DHT MEETING,MASAKA,MASAKA CITY,16,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,2520000
CARE,JOINT DHT MEETING,MASAKA,SEMBABULE,32,COUNT EACH OUTREACH DONE BY THE RIDER AS ONE,No. of Outreaches done,2520000
PMTCT,CERVICAL CANCER SCREENING,MASAKA,BUKOMANSIMBI,21,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,1098000
PMTCT,CERVICAL CANCER SCREENING,MASAKA,MASAKA CITY,11,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,1068000
PMTCT,CERVICAL CANCER SCREENING,MASAKA,SEMBABULE,27,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,2072000
PMTCT,LAB PERSONNEL/FLEX HOURS,MASAKA,SEMBABULE,39,COUNT EACH HC II VISITED AS AS ONE OUTREACH,No. of outreaches done,2160000
PMTCT,LAB PERSONNEL/FLEX HOURS,MASAKA,BUKOMANSIMBI,39,COUNT EACH HC II VISITED AS AS ONE OUTREACH,No. of outreaches done,1440000
PMTCT,LAB PERSONNEL/FLEX HOURS,MASAKA,MASAKA CITY,39,COUNT EACH HC II VISITED AS AS ONE OUTREACH,No. of outreaches done,720000
PMTCT,PrEP REFILLS,MASAKA,SEMBABULE,6,COUNT EACH OUTREACH AS AS ONE ,No. of outreaches done,3024000
PMTCT,PrEP REFILLS,MASAKA,BUKOMANSIMBI,6,COUNT EACH OUTREACH AS AS ONE ,No. of outreaches done,2130000
PMTCT,PrEP REFILLS,MASAKA,MASAKA CITY,6,COUNT EACH OUTREACH AS AS ONE ,No. of outreaches done,2028000
PMTCT,EMTCT RETENTION,MASAKA,SEMBABULE,6,COUNT EACH OUTREACH AS AS ONE ,No. of outreaches done,2250000
PMTCT,EMTCT RETENTION,MASAKA,BUKOMANSIMBI,6,COUNT EACH OUTREACH AS AS ONE ,No. of outreaches done,1800000
PMTCT,EMTCT RETENTION,MASAKA,MASAKA CITY,6,COUNT EACH OUTREACH AS AS ONE ,No. of outreaches done,1800000
TB,MOBILE XRAY,MASAKA,SEMBABULE,20,COUNT EACH OUTREACH AS ONE,No. of outreaches done,2460000
TB,COMMUNTY TB SCREENING ,MASAKA,BUKOMANSIMBI,21,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,1980000
TB,COMMUNTY TB SCREENING ,MASAKA,MASAKA CITY,21,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,2130000
TB,COMMUNTY TB SCREENING ,MASAKA,SEMBABULE,39,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,2592000
